session_id,user_id,session_start,session_end,total_pages_visited,total_time_spent_seconds,max_items_in_cart,purchased,device_type,country,referral_source,session_duration_minutes
session_0,user_2223,2025-01-20 22:53:34,2025-01-20 22:53:34,1,55.0,0.0,0,desktop,india,social media,0.0
session_1,user_2192,2025-02-26 12:57:10,2025-02-26 12:59:11,2,220.0,0.0,0,tablet,germany,email,2.0166666666666666
session_10,user_2357,2025-05-17 22:11:37,2025-05-17 22:13:33,2,191.0,0.0,0,tablet,india,direct,1.9333333333333333
session_100,user_1233,2025-04-02 11:24:36,2025-04-02 11:25:41,2,101.0,1.0,0,desktop,usa,email,1.0833333333333333
session_1000,user_1551,2025-08-25 09:34:15,2025-08-25 09:41:24,5,474.0,3.0,1,mobile,france,email,7.15
session_1001,user_2877,2025-03-27 20:11:23,2025-03-27 20:13:22,3,264.0,5.0,0,desktop,germany,direct,1.9833333333333334
session_1002,user_1834,2025-02-11 10:53:09,2025-02-11 10:58:53,5,442.0,3.0,1,mobile,canada,direct,5.733333333333333
session_1003,user_1216,2025-07-27 22:14:11,2025-07-27 22:16:56,2,221.0,4.0,0,mobile,india,social media,2.75
session_1004,user_1154,2025-03-05 13:49:21,2025-03-05 13:49:21,1,147.0,0.0,0,mobile,canada,social media,0.0
session_1005,user_1252,2025-06-27 11:42:03,2025-06-27 11:43:33,2,168.0,2.0,0,tablet,germany,google,1.5
session_1006,user_1471,2025-01-03 08:21:05,2025-01-03 08:21:05,1,138.0,0.0,0,mobile,usa,email,0.0
session_1007,user_1010,2025-01-20 23:48:43,2025-01-20 23:56:32,5,587.0,5.0,1,mobile,france,social media,7.816666666666666
session_1008,user_1722,2025-02-23 05:15:15,2025-02-23 05:16:59,2,155.0,4.0,0,tablet,canada,social media,1.7333333333333334
session_1009,user_1796,2025-08-16 07:49:32,2025-08-16 07:50:49,3,136.0,2.0,0,tablet,australia,social media,1.2833333333333334
session_101,user_1984,2025-04-14 06:47:08,2025-04-14 06:54:24,5,564.0,2.0,1,mobile,france,direct,7.266666666666667
session_1010,user_2634,2025-03-29 09:27:40,2025-03-29 09:31:33,3,355.0,3.0,0,mobile,canada,social media,3.8833333333333333
session_1011,user_2682,2025-03-13 12:16:14,2025-03-13 12:18:20,2,158.0,3.0,0,desktop,germany,direct,2.1
session_1012,user_2220,2025-04-13 01:30:35,2025-04-13 01:32:24,2,165.0,2.0,0,desktop,usa,social media,1.8166666666666667
session_1013,user_1989,2025-02-02 15:50:12,2025-02-02 15:50:35,2,197.0,0.0,0,mobile,france,google,0.38333333333333336
session_1014,user_1188,2025-03-05 17:25:17,2025-03-05 17:27:39,2,194.0,5.0,0,desktop,germany,social media,2.3666666666666667
session_1015,user_2597,2025-01-19 08:34:02,2025-01-19 08:39:23,5,432.0,2.0,1,mobile,australia,google,5.35
session_1016,user_2752,2025-07-09 17:47:10,2025-07-09 17:52:20,4,421.0,2.0,0,tablet,france,direct,5.166666666666667
session_1017,user_2046,2025-05-09 06:39:16,2025-05-09 06:41:49,2,294.0,0.0,0,tablet,canada,google,2.55
session_1018,user_2475,2025-05-12 17:24:26,2025-05-12 17:31:04,5,544.0,4.0,1,tablet,france,email,6.633333333333334
session_1019,user_2063,2025-07-07 18:47:26,2025-07-07 18:54:48,5,466.0,1.0,1,mobile,india,social media,7.366666666666666
session_102,user_1480,2025-02-12 23:06:34,2025-02-12 23:08:57,2,212.0,0.0,0,desktop,australia,direct,2.3833333333333333
session_1020,user_1489,2025-05-14 08:16:26,2025-05-14 08:16:41,2,88.0,0.0,0,mobile,germany,direct,0.25
session_1021,user_1740,2025-07-12 19:48:40,2025-07-12 19:49:37,2,118.0,1.0,0,tablet,france,direct,0.95
