session_id,user_id,timestamp,page_type,device_type,country,referral_source,time_on_page_seconds,items_in_cart,purchased,date,year,month,month_name,day,day_name,hour
session_0,user_2223,2025-01-20 22:53:34,home,desktop,india,social media,55.0,0.0,0,2025-01-20,2025,1,January,20,Monday,22
session_1,user_2192,2025-02-26 12:57:10,home,tablet,germany,email,99.0,0.0,0,2025-02-26,2025,2,February,26,Wednesday,12
session_1,user_2192,2025-02-26 12:59:11,product_page,tablet,germany,email,121.0,0.0,0,2025-02-26,2025,2,February,26,Wednesday,12
session_10,user_2357,2025-05-17 22:11:37,home,tablet,india,direct,75.0,0.0,0,2025-05-17,2025,5,May,17,Saturday,22
session_10,user_2357,2025-05-17 22:13:33,product_page,tablet,india,direct,116.0,0.0,0,2025-05-17,2025,5,May,17,Saturday,22
session_100,user_1233,2025-04-02 11:24:36,home,desktop,usa,email,36.0,0.0,0,2025-04-02,2025,4,April,2,Wednesday,11
session_100,user_1233,2025-04-02 11:25:41,product_page,desktop,usa,email,65.0,1.0,0,2025-04-02,2025,4,April,2,Wednesday,11
session_1000,user_1551,2025-08-25 09:34:15,home,mobile,france,email,45.0,0.0,1,2025-08-25,2025,8,August,25,Monday,9
session_1000,user_1551,2025-08-25 09:35:45,product_page,mobile,france,email,90.0,3.0,1,2025-08-25,2025,8,August,25,Monday,9
session_1000,user_1551,2025-08-25 09:38:16,cart,mobile,france,email,151.0,3.0,1,2025-08-25,2025,8,August,25,Monday,9
session_1000,user_1551,2025-08-25 09:40:48,checkout,mobile,france,email,152.0,3.0,1,2025-08-25,2025,8,August,25,Monday,9
session_1000,user_1551,2025-08-25 09:41:24,confirmation,mobile,france,email,36.0,0.0,1,2025-08-25,2025,8,August,25,Monday,9
session_1001,user_2877,2025-03-27 20:11:23,home,desktop,germany,direct,145.0,0.0,0,2025-03-27,2025,3,March,27,Thursday,20
session_1001,user_2877,2025-03-27 20:13:05,product_page,desktop,germany,direct,102.0,5.0,0,2025-03-27,2025,3,March,27,Thursday,20
session_1001,user_2877,2025-03-27 20:13:22,cart,desktop,germany,direct,17.0,5.0,0,2025-03-27,2025,3,March,27,Thursday,20
session_1002,user_1834,2025-02-11 10:53:09,home,mobile,canada,direct,98.0,0.0,1,2025-02-11,2025,2,February,11,Tuesday,10
session_1002,user_1834,2025-02-11 10:53:30,product_page,mobile,canada,direct,21.0,3.0,1,2025-02-11,2025,2,February,11,Tuesday,10
session_1002,user_1834,2025-02-11 10:55:15,cart,mobile,canada,direct,105.0,3.0,1,2025-02-11,2025,2,February,11,Tuesday,10
session_1002,user_1834,2025-02-11 10:56:50,checkout,mobile,canada,direct,95.0,3.0,1,2025-02-11,2025,2,February,11,Tuesday,10
session_1002,user_1834,2025-02-11 10:58:53,confirmation,mobile,canada,direct,123.0,0.0,1,2025-02-11,2025,2,February,11,Tuesday,10
